Division,Gender,Base Salary
Forensic Services,F,88097.75
Chief Office of Community Affairs,F,162451.76
Aging and Disability Resource Unit,F,86669
Aging and Disability Resource Unit,F,86669
Child Welfare Services,F,79385.13
Child Welfare Services,F,99852
Child Welfare Services,F,97655
Child Welfare Services,F,99852
Child Welfare Services,F,104680
Emergency Housing Assistance,F,104680
African American Health Program,F,99852
Child Welfare Services,F,105993.76
Child Welfare Services,F,99852
Child Welfare Services,F,97287.35
Child Welfare Services,F,115099
Child Welfare Services,F,104680
Emergency Housing Assistance,M,89293.47
Child Welfare Services,F,42449.31
Child Welfare Services,F,71852
Child Welfare Services,F,93755.84
Child Welfare Services,F,99852
Child Welfare Services,F,114458.81
Child Welfare Services,F,42922.07
24 Hours Crisis Center,F,41249.78
Child Welfare Services,F,104680
Child Welfare Services,F,76895.16
Child Welfare Services,F,85260.64
Child Welfare Services,M,101002.96
Child Welfare Services,F,81271.66
Child Welfare Services,F,115099
Medical Assistance Eligibility Services,F,66027.51
Adult Protective Services - Nurse Assessment,F,104680
Medical Assistance Eligibility Services,M,82049.27
Area Agency on Aging Administration,F,112441.08
Medical Assistance Eligibility Services,F,102377
Child and Adolescent Mental Health Clinic Services,F,115099
Medical Assistance Eligibility Services,F,62488
Child and Adolescent Mental Health Clinic Services,M,102377
Child and Adolescent Mental Health Clinic Services,F,44544.57
Child and Adolescent Mental Health Clinic Services,M,223953
Medical Assistance Eligibility Services,F,104680
Medical Assistance Eligibility Services,F,99279.8
Medical Assistance Eligibility Services,F,93140
Medical Assistance Eligibility Services,F,102377
Access to Behavioral Health Services,F,78902
Medical Assistance Eligibility Services,M,72373.8
Child and Adolescent Mental Health Clinic Services,F,139842.06
Adult Protective and Case Management Services,M,101095.39
Jail Addiction Services,F,104680
Child and Adolescent Mental Health Clinic Services,F,104680
Behavioral Health Planning and Management,M,109761
Child and Adolescent Mental Health Clinic Services,M,111976.5
School Health Services,F,136764.34
Behavioral Health Planning and Management,F,109761
School Health Services,F,48048
Emergency Housing Assistance,F,84406.63
Child Welfare Services,F,115099
Women's Health Services,F,104680
School Based Health Centers,M,62488
Adult Protective Services - Nurse Assessment,F,104680
Behavioral Health Community Support Services,M,104680
Income Supports,F,76592.27
Income Supports,F,86669
Adult Protective and Case Management Services,F,104043.42
Behavioral Health Community Support Services,F,78902
Income Supports,M,86669
24 Hours Crisis Center,F,52340
Area Health Centers,F,104680
Income Supports,F,95236
School Health Services,F,56240.92
School Health Services,F,167345
School Health Services,F,45401.64
School Health Services,F,58682.75
School Health Services,F,58682.75
School Health Services,F,59067.94
Facilities and Logistical Services,M,61113
Medical Assistance Eligibility Services,F,80659.95
Income Supports,M,86669
Income Supports,F,95236
Disease Control,F,144751
School Health Services,F,142282.21
School Health Services,F,45401.64
School Health Services,F,59065.95
Maternity Dental,F,62718.98
TB and Refugee Health,F,104680
TB and Refugee Health,F,144751
Income Supports,M,86669
Adult Protective and Case Management Services,F,99852
Emergency Housing Assistance,F,94030.14
Adult Behavioral Health Services,M,99556.5
School Health Services,F,51471.36
Child Welfare Services,F,115099
Income Supports,M,121023.47
Head Start/Pre-K (Health),F,104126.03
School Health Services,F,60003.13
School Health Services,F,57069.44
Medical Assistance Eligibility Services,F,86669
24 Hours Crisis Center,F,90736.65
24 Hours Crisis Center,F,86669
School Health Services,F,51471.36
Medical Assistance Eligibility Services,F,86669
School Health Services,F,60003.13
Child Welfare Services,F,86493.41
School Health Services,F,54911.98
Child Welfare Services,F,100215.21
STD and HIV Services,F,53055.07
Child Welfare Services,F,49926
Income Supports,F,104680
Area Health Centers,F,104680
Clinical Assessment and Triage Services,F,144751
Child Welfare Services,F,101923.95
Emergency Housing Assistance,F,78902
Nursing Home Inspections,F,104680
Permanent Supportive Housing,F,99032.16
School Based Health Centers,F,104680
24 Hours Crisis Center,F,53165.4
Child Welfare Services,F,88587.8
Positive Youth Development,M,94027.79
School Health Services,F,104680
Contract Team,F,109761
24 Hours Crisis Center,F,104680
STD and HIV Services,M,75290
Abused Persons Program,F,104680
Adult Protective and Case Management Services,F,104680
School Health Services,F,55139.24
Medication Assisted Treatment - Clinical and Vocational Services,M,104680
Child Welfare Services,F,99852
School Health Services,F,44852.33
Income Supports,F,95236
School Health Services,F,100370
Emergency Housing Assistance,F,78902
School Health Services,F,60003.13
Adult Protective Services - Nurse Assessment,F,102377
School Based Health Centers,F,109761
Infants and Toddlers,F,86884.4
Child Welfare Services,F,85040.93
School Health Services,F,58682.75
Emergency Housing Assistance,F,59911.2
Disease Control,F,71852
Medical Assistance Eligibility Services,F,76592.28
Adult Protective and Case Management Services,F,53167.09
Income Supports,M,86669
Head Start/Pre-K (Health),F,68136
School Health Services,F,51475.08
School Health Services,F,49729.75
Environmental Health and Regulatory Services,M,104680
Environmental Health and Regulatory Services,M,102668.98
School Health Services,F,102377
Income Supports,F,86669
Income Supports,M,86669
Child Welfare Services,F,99691.56
School Based Health Centers,F,104680
Adult Intensive Outpatient Services,M,104680
School Health Services,F,104680
School Health Services,F,53276.7
Income Supports,M,86669
Child Welfare Services,F,78902
STD and HIV Services,F,109761
Medical Assistance Eligibility Services,F,104680
Income Supports,F,86669
School Health Services,F,137114.56
School Health Services,F,48049.03
Child Welfare Services,M,62488
Positive Youth Development,M,78902
School Health Services,F,46423.18
School Health Services,F,53276.7
Access to Behavioral Health Services,F,115099
Senior Dental,F,90848
24 Hours Crisis Center,F,82348.03
Child Welfare Services,F,62488
School Based Health Centers,F,104680
Child Welfare Services,F,65919.2
School Health Services,F,104680
Adult Protective Services - Nurse Assessment,F,104680
Income Supports,F,96907.49
Adult Shelters,F,115099
School Health Services,F,104680
Income Supports,F,84762
Adult Protective and Case Management Services,M,103716.04
STD and HIV Services,F,112566
Clinical Assessment and Triage Services,F,104680
Child Welfare Services,F,83354.38
Medical Assistance Eligibility Services,F,86669
STD and HIV Services,F,104680
School Health Services,F,55140.8
24 Hours Crisis Center,F,114658.68
Income Supports,F,86669
School Health Services,F,104680
Child Welfare Services,F,89111.42
Infants and Toddlers,F,132759
Behavioral Health Community Support Services,F,86669
Adult Behavioral Health Services,F,49275.26
Area Agency on Aging Administration,F,71852
Behavioral Health Community Support Services,F,86669
School Health Services,F,53276.7
Adult Protective Services - Nurse Assessment,F,104680
Child Care Subsidies - Admin,M,67079.34
Environmental Health and Regulatory Services,M,104680
Income Supports,F,64332.18
24 Hours Crisis Center,F,104680
Adult Protective and Case Management Services,F,115099
Child Welfare Services,F,154356.88
Environmental Health and Regulatory Services,F,82722.88
Environmental Health and Regulatory Services,M,104680
Child Welfare Services,F,71852
School Health Services,F,60003.13
Income Supports,F,52720.43
Medication Assisted Treatment - Clinical and Vocational Services,F,99852
Emergency Housing Assistance,F,62488
School Health Services,F,60003.13
Medical Assistance Eligibility Services,F,81848.22
Access to Behavioral Health Services,F,104680
Behavioral Health Community Support Services,F,115099
Child Welfare Services,F,78902
Permanent Supportive Housing,F,94212
Medical Assistance Eligibility Services,M,84762
School Health Services,F,62870.5
"Planning, Accountability and Customer Service",F,45424
Medication Assisted Treatment - Clinical and Vocational Services,F,104680
Adult Protective and Case Management Services,F,104680
Adult Protective Services - Nurse Assessment,F,71852
School Health Services,F,104680
Income Supports,F,127160.53
Child Welfare Services,F,70285.87
Environmental Health and Regulatory Services,F,71852
Disease Control - Immunization,F,109761
STD and HIV Services,F,90848
Emergency Housing Assistance,F,99852
Head Start/Pre-K (Health),M,68589.1
24 Hours Crisis Center,F,167345
School Health Services,F,60003.13
Medical Assistance Eligibility Services,F,66743.59
School Health Services,F,60003.13
Adult Behavioral Health Services,F,46866
Adult Protective Services - Nurse Assessment,F,104680
School Health Services,F,51475.08
Income Supports,F,86669
Child Welfare Services,F,99852
School Health Services,F,48048
Montgomery Cares,F,55679.02
Maternity Dental,M,67726.91
Environmental Health and Regulatory Services,M,104680
School Health Services,F,60003.13
Medical Assistance Eligibility Services,F,104680
Income Supports,F,86669
Special Projects - Linkages to Learning,F,39451
School Health Services,F,46423.18
Maternity Dental,M,61010.18
Child Welfare Services,F,104680
Child Welfare Services,F,129060.51
Clinical Assessment and Triage Services,F,86493.43
Information Systems and Technology,M,144751
Income Supports,F,95236
Home Energy Assistance Program,F,82410.34
Emergency Housing Assistance,F,99852
Victim Assistance and Sexual Assault Program,F,104680
School Health Services,F,58828.67
Child Welfare Services,F,77555.39
Infants and Toddlers,F,55260.91
Access to Behavioral Health Services,F,77810.89
School Health Services,F,49730.79
24 Hours Crisis Center,M,104680
School Health Services,F,46423.18
Income Supports,M,86669
Income Supports,F,86669
School Health Services,F,62488
Victim Assistance and Sexual Assault Program,F,100370
Behavioral Health Planning and Management,F,125708.21
Adult Public Guardianship,F,72303.98
Information Systems and Technology,M,115099
School Health Services,F,51431.25
School Health Services,F,104680
School Health Services,F,44852.24
School Health Services,M,109761
Head Start/Pre-K (Health),F,78094.72
Income Supports,F,104680
Emergency Housing Assistance,F,99852
Access to Behavioral Health Services,F,78902
School Health Services,F,44852.24
Public Health Emergency Preparedness and Response Program,F,51510.2
Environmental Health and Regulatory Services,F,104680
School Health Services,F,60003.13
School Health Services,F,53276.7
School Health Services,M,82377.2
Health Care and Group Facilities,F,109761
School Health Services,F,51475.08
School Health Services,F,104680
School Health Services,F,48048.07
Adult Behavioral Health Services,M,104680
Income Supports,F,64837.87
TB and Refugee Health,F,71852
School Health Services,F,60003.13
School Health Services,F,53925.91
Medical Assistance Eligibility Services,M,71732.99
Disease Control - Immunization,F,64330.11
24 Hours Crisis Center,F,102377
Aging and Disability Resource Unit,F,86669
Access to Behavioral Health Services,F,68089.32
Child Welfare Services,F,104680
Medical Assistance Eligibility Services,F,76843.01
Area Health Centers,F,78902
Child Welfare Services,F,83354.37
STD and HIV Services,F,80597.28
STD and HIV Services,M,108344.3
School Health Services,F,103020.36
School Health Services,F,44852.24
Income Supports,F,71498.87
Income Supports,F,62488
Income Supports,F,62488
Community Action Agency,F,98563.9
Head Start/Pre-K (Health),F,45665.73
School Health Services,F,137114.56
Medication Assisted Treatment - Clinical and Vocational Services,M,78902
Child Welfare Services,F,104680
School Health Services,F,38009.4
Child Welfare Services,F,78902
Child Welfare Services,F,92675.8
School Health Services,F,55139.24
TB and Refugee Health,F,104680
Child Welfare Services,M,117687.36
24 Hours Crisis Center,M,71599.13
Income Supports,F,86669
School Health Services,F,60003.13
Medical Assistance Eligibility Services,F,86669
Income Supports,F,86669
Child Welfare Services,F,96432.37
Income Supports,F,86669
STD and HIV Services,F,162874.4
Income Supports,F,85577.91
STD and HIV Services,F,93156.09
Child Welfare Services,F,100472.84
School Health Services,F,58682.75
School Health Services,F,60003.13
School Health Services,F,104680
Medical Assistance Eligibility Services,F,85717.12
Child Welfare Services,F,99852
Medical Assistance Eligibility Services,F,71498.87
School Health Services,F,60003.13
School Health Services,F,60003.13
Abused Persons Program,F,84921.7
Income Supports,F,90253.01
School Health Services,F,48048
Head Start/Pre-K (Health),F,45663.96
School Health Services,F,53272.76
Income Supports,F,69080.29
School Health Services,F,48048.07
Area Health Centers,F,71182.49
School Health Services,F,60003.13
STD and HIV Services,F,96683.52
Income Supports,F,86669
Medical Assistance Eligibility Services,F,86669
Adult Foster Care - Project Home,F,104680
Medical Assistance Eligibility Services,F,86669
Emergency Housing Assistance,F,49926
Income Supports,F,86669
Child Welfare Services,F,49926
Child Welfare Services,M,75767.28
Infants and Toddlers,F,66724.9
Olney Library,M,74421.43
MC311,F,58635.31
Jail Addiction Services,M,97780.53
School Health Services,F,60003.13
STD and HIV Services,F,104680
School Health Services,F,62870.5
Income Supports,F,86669
Child Welfare Services,F,56835.17
Maternity Dental,F,65464
Adult Protective Services - Nurse Assessment,F,102377
STD and HIV Services,F,109761
School Health Services,F,60003.13
School Health Services,F,104680
Income Supports,M,106825.21
Income Supports,F,74002.21
School Health Services,F,47262.21
Income Supports,F,123152.16
School Health Services,F,46423.18
Child Welfare Services,F,78902
School Health Services,F,60003.13
Income Supports,F,86669
Facilities and Logistical Services,F,62488
School Health Services,F,60003.13
TB and Refugee Health,F,78902
Child Welfare Services,F,71852
Adult Drug Court,M,125985.52
Child and Adolescent Mental Health Clinic Services,F,105801.93
Medical Assistance Eligibility Services,F,71852
School Health Services,F,60003.13
Child Welfare Services,F,78902
Access to Behavioral Health Services,F,9265.72
Child Welfare Services,F,79483.29
School Health Services,F,57897.97
Community Action Agency,M,71852
Behavioral Health Planning and Management,F,123220.6
Environmental Health and Regulatory Services,M,104680
STD and HIV Services,M,90848
Aging and Disability Resource Unit,F,86669
Clinical Assessment and Triage Services,M,78902
Behavioral Health Planning and Management,M,99852
Emergency Housing Assistance,F,95236
School Health Services,F,51471.36
Disease Control,F,104680
School Health Services,F,60003.13
School Health Services,F,51471.36
Adult Protective and Case Management Services,M,102377
Income Supports,M,104680
School Health Services,F,58682.75
School Health Services,F,60003.13
Child Welfare Services,F,56955.81
Child Welfare Services,F,115099
Medical Assistance Eligibility Services,M,53165.39
Income Supports,F,86669
Child Welfare Services,F,65223.69
School Health Services,F,57069.44
Human Resources,F,109761
School Health Services,F,60003.13
School Health Services,F,51471.36
24 Hours Crisis Center,F,78902
Adult Protective Services - Nurse Assessment,F,104680
School Health Services,F,48048
Abused Persons Program,F,104680
Medical Assistance Eligibility Services,F,86669
Emergency Housing Assistance,M,97655
School Health Services,F,104680
School Health Services,F,60003.13
School Health Services,F,60003.13
School Health Services,F,57069.44
School Health Services,F,51471.36
Income Supports,F,104680
Abused Persons Program,F,86159.72
Income Supports,F,86669
Income Supports,F,104680
Access to Behavioral Health Services,F,104680
Medical Assistance Eligibility Services,F,86669
Human Resources,F,90848
Income Supports,F,95236
School Health Services,F,57069.44
Income Supports,F,84762
Child Welfare Services,F,89523.68
Latino Health Initiative,F,62488
Medical Assistance Eligibility Services,F,104680
School Health Services,F,104680
Child Welfare Services,F,107619.53
Income Supports,F,29650.58
Information Systems and Technology,M,115099
Senior Dental,F,63997.33
School Health Services,F,60003.13
Child Welfare Services,F,66743.59
Income Supports,M,99852
Child Welfare Services,M,115099
School Health Services,F,57068.54
24 Hours Crisis Center,F,115099
24 Hours Crisis Center,M,94441.58
Disease Control - Immunization,M,64332.16
School Health Services,F,49729.75
School Based Health Centers,F,99536.06
Care Coordination,F,62488
24 Hours Crisis Center,F,104680
Abused Persons Program,F,104680
Medical Assistance Eligibility Services,F,95236
Child Welfare Services,F,104680
Community Outreach,M,109761
24 Hours Crisis Center,M,104680
Disease Control,F,104680
School Health Services,F,49729.75
Medical Assistance Eligibility Services,M,84762
School Health Services,F,60003.13
School Health Services,F,53276.7
Child Care Subsidies - Admin,F,86669
Disease Control,F,104680
Rental Assistance,F,86669
School Health Services,F,55139.24
School Based Health Centers,F,104680
TB and Refugee Health,M,75290
Emergency Housing Assistance,F,62488
School Health Services,F,55139.24
School Based Health Centers,F,109761
Child Welfare Services,F,60377.04
Adult Protective Services - Nurse Assessment,F,102377
Child Welfare Services,F,72351.05
Income Supports,M,84762
School Health Services,F,59067.94
Victim Assistance and Sexual Assault Program,F,76591.7
Forensic Services,F,64332.77
Home Care Services,F,115099
Abused Persons Program,F,115099
Income Supports,F,90544.91
School Health Services,F,49730.79
Adult Protective and Case Management Services,M,110359
Medical Assistance Eligibility Services,F,86669
Environmental Health and Regulatory Services,F,104680
Child Welfare Services,F,61932.62
School Health Services,F,60003.13
Child Welfare Services,F,90003.23
Access to Behavioral Health Services,F,86669
Head Start/Pre-K (Health),F,50627.94
School Health Services Center,F,68575
Community Action Agency,F,131148.34
Information Systems and Technology,M,115099
Women's Health Services,F,78510
Victim Assistance and Sexual Assault Program,F,104680
School Health Services,F,104680
Child Welfare Services,F,62488
Adult Behavioral Health Services,F,97999.85
School Health Services,F,49730.79
Urine Monitoring Program,M,64260.92
Income Supports,F,95236
Emergency Housing Assistance,F,104680
Income Supports,M,95236
STD and HIV Services,F,52638.32
School Health Services,F,91595
School Health Services,F,60003.13
Disease Control,F,70271
School Health Services,F,60003.13
School Health Services,F,58682.75
24 Hours Crisis Center,M,52340
Urine Monitoring Program,F,62488
School Health Services,F,39791.29
Medication Assisted Treatment - Clinical and Vocational Services,F,72856.32
Medical Assistance Eligibility Services,F,86669
Income Supports,F,62488
Environmental Health and Regulatory Services,F,115099
School Health Services,F,102730.51
Care Coordination,F,78902
Behavioral Health Planning and Management,F,99852
Child Welfare Services,F,78902
Early Childhood Services,F,99852
School Health Services,F,46422.14
Child Welfare Services,M,99852
Victim Assistance and Sexual Assault Program,F,35749.03
School Health Services,F,51471.36
Clinical Assessment and Triage Services,F,104680
STD and HIV Services,F,104680
Adult Intensive Outpatient Services,F,104680
Care Coordination,F,65436.65
Care Coordination,F,66443.63
24 Hours Crisis Center,F,104680
Information Systems and Technology,M,123799
Child Welfare Services,F,29957.5
Medical Assistance Eligibility Services,F,86669
School Health Services,F,58682.75
Adult Drug Court,F,94441.58
School Health Services,F,104680
Adult Intensive Outpatient Services,F,115099
Child and Adolescent Mental Health Clinic Services,M,104680
School Health Services,F,60003.13
School Health Services,F,60003.13
Emergency Housing Assistance,F,43136.86
24 Hours Crisis Center,F,101796.5
School Health Services,F,60003.13
Disease Control,F,104680
Income Supports,F,51887.59
Emergency Housing Assistance,F,104680
Women's Health Services,F,78902
24 Hours Crisis Center,F,104680
Income Supports,F,95236
Income Supports,M,86669
School Health Services,F,52340
Adult Protective Services - Nurse Assessment,F,104680
Child Welfare Services,M,115099
24 Hours Crisis Center,F,77633.48
School Health Services,F,49729.75
Child Welfare Services,F,77166
School Health Services,F,58682.75
Maternity Dental,F,71852
Child Welfare Services,F,68653
Child Welfare Services,F,85258.46
School Health Services,F,48048
School Health Services,F,104680
School Health Services,F,109761
Income Supports,M,104680
Income Supports,F,67228.22
Child Welfare Services,F,84002.37
Income Supports,F,86669
TB and Refugee Health,M,75290
School Health Services,F,57069.44
"Chief, Behavioral Health and Crisis Services",M,203593
School Health Services,F,70879.72
Adult Foster Care - Project Home,F,104680
Adult Protective and Case Management Services,M,104680
School Health Services,F,104680
Child Welfare Services,F,144359.9
STD and HIV Services,F,104680
School Based Health Centers,F,10468
Jail Addiction Services,F,115099
Child Welfare Services,M,62488
Income Supports,M,86669
Child Welfare Services,F,49926
Medical Assistance Eligibility Services,F,70935.58
STD and HIV Services,F,74001.34
24 Hours Crisis Center,F,41235.07
School Health Services,F,60003.13
Income Supports,F,62488
School Health Services,F,62870.5
Child Welfare Services,F,104680
STD and HIV Services,F,67066
STD and HIV Services,F,62488
Outpatient Addiction and Mental Health Clinic,M,99852
Medical Assistance Eligibility Services,M,86669
School Health Services,F,87646.84
"Planning, Accountability and Customer Service",F,99852
Income Supports,F,104680
24 Hours Crisis Center,M,86076.41
Child and Adolescent Mental Health Clinic Services,M,79698.92
School Health Services,F,49729.75
Environmental Health and Regulatory Services,F,94096.48
Child Welfare Services,F,115099
Permanent Supportive Housing,F,99852
Emergency Housing Assistance,F,86669
TB and Refugee Health,F,109761
Income Supports,F,95236
School Health Services,F,51475.08
Emergency Housing Assistance,F,64727.19
Area Health Centers,F,102377
School Health Services,F,48048
Positive Youth Development,M,129140.73
School Health Services,F,46990.71
Child Welfare Services,F,76376.74
Area Health Centers,F,104680
School Health Services,F,48048
Nurse Monitoring,F,109761
Income Supports,M,86669
Income Supports,F,53483.5
Women's Health Services,F,104680
Behavioral Health Community Support Services,F,86669
School Health Services,F,104680
School Health Services,F,104680
Child Welfare Services,F,104680
Abused Persons Program,F,104680
Medical Assistance Eligibility Services,F,76844.47
STD and HIV Services,M,87569.21
School Health Services,F,101619.14
Child Welfare Services,F,78902
Head Start/Pre-K (Health),F,77265.67
Medication Assisted Treatment - Clinical and Vocational Services,M,104680
Child Welfare Services,F,57204.12
Income Supports,M,83051.61
Adult Protective and Case Management Services,F,52340
School Based Health Centers,F,104680
Maternity Dental,F,90848
Medical Assistance Eligibility Services,F,74000.56
Income Supports,M,86669
School Health Services,F,46423.18
TB and Refugee Health,F,104680
Community Action Agency,F,89608.08
Child Welfare Services,F,49926
School Health Services,F,60003.13
School Health Services,F,144751
Information Systems and Technology,M,115099
Adult Protective Services - Nurse Assessment,F,104680
TB and Refugee Health,F,67494.72
School Health Services,F,60003.13
Child Welfare Services,F,40635.84
School Health Services,F,51475.08
Facilities and Logistical Services,M,43748
School Health Services,F,55140.54
Adult Behavioral Health Services,F,203593
School Health Services,F,60003.13
School Health Services,F,49729.75
Healthcare for the Homeless,F,105968.68
Area Health Centers,F,62488
School Health Services,F,55679.93
Early Childhood Services,F,45010.57
Income Supports,M,80760.17
Income Supports,F,73418.34
Adult Protective and Case Management Services,F,81271.66
School Health Services,F,44852.24
Access to Behavioral Health Services,F,59176.68
School Health Services,F,91595
School Health Services,F,99536.06
School Health Services,F,44852.24
Income Supports,F,26534.31
"Chief, Children Youth and Families",F,67814.08
Community Support Network for People with Disabilities,F,20470.01
Medical Assistance Eligibility Services,F,66742.88
Adult Protective and Case Management Services,M,20470.01
School Health Services,M,43617.88
School Health Services,F,46424.51
Child Welfare Services,F,64746.42
School Health Services,F,44852.24
School Health Services,F,38019.21
Income Supports,M,62306.59
STD and HIV Services,F,54626.8
School Health Services,F,39340.43
Income Supports,F,18335.2
School Health Services,F,44853.34
Income Supports,M,70935.59
Child Welfare Services,F,61403.48
School Health Services,F,44852.57
Access to Behavioral Health Services,F,73522.95
Abused Persons Program,F,28441.71
Income Supports,F,71092.44
School Health Services,F,44852.57
School Health Services,F,44852.57
Aging and Disability Resource Unit,F,76119.18
School Health Services,F,45144.49
School Health Services,F,46422.08
Child Welfare Services,F,59327.03
Victim Assistance and Sexual Assault Program,F,40932.01
Forensic Services,F,86172.65
Adult Behavioral Health Services,M,99556.5
Child and Adolescent Mental Health Clinic Services,M,80741.52
School Health Services,F,42142.32
Child Welfare Services,F,80742.52
Child Welfare Services,F,80741.54
Child Welfare Services,F,76896.69
Income Supports,F,28065.78
School Health Services,F,96780.14
Nursing Home Inspections,F,102678.48
School Health Services,F,47094.87
School Health Services,F,44852.57
School Health Services,F,44852.24
School Health Services,F,44852.24
Medical Assistance Eligibility Services,F,80758.87
School Health Services,M,70704.19
Ombudsman Services,F,104680
Support Planning,F,76107.68
Service Coordination and Individual Support Services,F,75560.64
Educational Support,F,75925.15
Child Welfare Services,M,76896.7
Director,M,178068
Infants and Toddlers,F,109761
Child Welfare Services,M,80741.55
Fiscal Team,F,97563.57
Victim Assistance and Sexual Assault Program,F,28098.02
Forensic Services,F,79198.86
Child Welfare Services,F,78523.35
Human Resources,F,139303.64
Income Supports,M,64486.9
School Health Services,F,44852.27
School Health Services,F,44852.57
ADA - HIPPA Compliance,F,149864.84
Child Welfare Services,M,144751
Maternity Dental,F,65464
Child Welfare Services,F,59233.18
Medical Assistance Eligibility Services,F,70935.59
Adult Drug Court,M,77253.39
Adult Drug Court,M,86669
School Health Services,F,42142.49
Substance Abuse Prevention,M,87935
Budget Team,F,105547.38
Income Supports,F,64486.9
Health Care and Group Residential Services,F,106458.15
Medical Assistance Eligibility Services,F,64773.11
Director's Office,F,167345
Income Supports,F,63067.87
Medical Assistance Eligibility Services,F,70935.58
Child Welfare Services,F,54947.11
Jail Addiction Services,F,81310.35
Child Welfare Services,F,75322.05
Area Health Centers,F,99536.06
Income Supports,M,64487.32
Environmental Health and Regulatory Services,F,81433.16
Environmental Health and Regulatory Services,M,102377
Forensic Services,F,108129.44
School Health Services,F,43617.85
Director's Office,F,140491.14
Special Projects - Linkages to Learning,F,72241.4
Medical Assistance Eligibility Services,F,70935.58
Child Welfare Services,F,78011.14
Care Coordination,F,61403.48
School Health Services,F,39821.39
Child Welfare Services,F,92922.85
Income Supports,F,64629.49
Victim Assistance and Sexual Assault Program,F,76294.54
Income Supports,F,26796.71
Early Childhood Services,F,151701.54
Child Welfare Services,F,80534.27
Medical Assistance Eligibility Services,F,75810.41
Child Welfare Services,F,80741.54
Abused Persons Program,F,64578.79
School Health Services,F,91595
School Health Services,F,99536.72
Disease Control - Immunization,F,104680
Chief Services to End and Prevent Homelessness,M,109761
Early Childhood Services,F,49628.83
School Health Services,F,51259.7
School Health Services,F,44852.19
School Health Services,F,44852.24
School Health Services,F,43617.9
School Health Services,F,104680
School Health Services,F,44852.24
School Health Services,F,44852.24
School Health Services,F,44852.27
Positive Youth Development,F,57601.02
Disease Control - Immunization,F,82640.39
School Health Services,F,104680
School Health Services,F,4816.28
Head Start,F,65464
Community Action Agency,F,90526.51
Income Supports,F,64486.92
24 Hours Crisis Center,F,81013.04
Urine Monitoring Program,M,111913.97
Adult Protective and Case Management Services,F,99852
Fiscal Team,F,113602.93
Aging and Disability Resource Unit,F,66743.94
Contract Team,M,76896.99
Access to Behavioral Health Services,F,104680
Child Welfare Services,M,60874.33
Jail Addiction Services,M,86669
STD and HIV Services,F,80742.52
Social Services Officer,M,160000
Autism Waiver,F,74175.26
Health Planning and Epidemiology,F,99852
Service Coordination and Individual Support Services,F,71233.34
Income Supports,F,56238.27
Adult Protective and Case Management Services,F,83893.12
Educational Support,F,74105.69
Positive Youth Development,M,30701.75
Outpatient Addiction and Mental Health Clinic,F,82783.6
Ombudsman Services,F,36336.13
"Planning, Accountability and Customer Service",F,107346
Home Energy Assistance Program,F,70935.59
Income Supports,F,68971.57
Income Supports,F,62306.59
Emergency Housing Assistance,F,46317.8
Adult Protective and Case Management Services,F,88312.61
Income Supports,F,58874.91
School Health Services,F,96170.1
Income Supports,F,62306.59
School Health Services,F,81817.79
School Health Services,F,99206.19
School Health Services,F,43617.88
School Health Services,F,47401.74
School Health Services,F,45144.5
School Health Services,F,45144.5
School Health Services,F,45144.57
School Health Services,F,43617.95
School Health Services,F,9935.07
School Health Services,F,43617.83
Maternity Dental,F,60320.84
Infants and Toddlers,F,83714.58
Director's Office,F,99852
Women's Health Services,F,59838.28
Fiscal Team,F,86172.65
Clinical Assessment and Triage Services,F,78847.98
Medical Assistance Eligibility Services,F,56195.78
Income Supports,F,68938.12
Asian American Health Initiative,M,108129.44
Medication Assisted Treatment - Clinical and Vocational Services,M,61432.96
Medical Assistance Eligibility Services,F,64773.11
Clinical Assessment and Triage Services,F,51800.52
Permanent Supportive Housing,F,74297.22
Child Welfare Services,F,78012.09
Community Action Agency,F,61398.04
Information Systems and Technology,M,165059.32
Early Childhood Services,F,78991.59
Victim Assistance and Sexual Assault Program,F,78739.97
TB and Refugee Health,M,47770.21
Adult Protective and Case Management Services,F,86854.83
Income Supports,M,56753.08
Clinical Assessment and Triage Services,F,104680
Clinical Assessment and Triage Services,F,92379.62
Head Start/Pre-K (Health),M,103233.57
School Health Services,F,45144.57
School Health Services,F,43617.89
School Health Services,F,81818.98
School Health Services,F,87290.16
School Health Services,F,4984.9
School Health Services,F,92917.93
School Health Services,F,101586.07
School Health Services,F,51593.68
School Health Services,F,52979.63
School Health Services,F,45144.57
Senior Nutrition Program,F,98424.97
Area Health Centers,M,61432.96
Income Supports,F,41788.36
Victim Assistance and Sexual Assault Program,F,104422.58
Area Health Centers,F,61432.96
"Chief, Behavioral Health and Crisis Services",F,75290
STD and HIV Services,F,196284.73
Permanent Supportive Housing,F,108344.3
Child Welfare Services,M,77954.92
Adult Protective and Case Management Services,M,82160.99
Child Welfare Services,F,59327.03
Child Welfare Services,F,104680
Juvenile Justice Services,M,49771.5
Infants and Toddlers,F,54918.79
Child Welfare Services,F,55361.91
"Chief, Public Health",F,53797.13
Urine Monitoring Program,M,59750.54
"Chief, Public Health",F,70936.05
Public Health Emergency Preparedness and Response Program,F,71598.98
Income Supports,F,42886.49
Environmental Health and Regulatory Services,F,46882.49
Abused Persons Program,F,67350.31
Environmental Health and Regulatory Services,M,75934
Special Projects - Linkages to Learning,F,49926
Area Agency on Aging Administration,F,79737.35
Contract Team,M,108264.49
